职位,城市,区域,街道,公司,薪资,经验,学历,领域,融资,规模,技能要求,基本福利
Python开发（短期）,广州,黄埔区,科学城,广州宇衡信息科技,15-20K,5-10年,大专,计算机软件,,20-99人,"分布式经验,微服务经验,MySQL,Redis,Python,Flask",
Python开发工程师,广州,增城区,新塘广场,陈酌,15-16K,1-3年,本科,食品/饮料/烟酒,不需要融资,0-20人,"Golang,Java,C++,Scrapy,团队管理经验,C,分布式经验,Redis,Numpy,HBase,爬虫经验,Django,MySQL,Tornado,MongoDB,架构设计经验,Oracle,Linux开发/部署经验,Python,Flask","五险一金,员工旅游,通讯补贴,节日福利,零食下午茶"
python高级开发工程师,广州,天河区,石牌,广州视听观澜文化传媒,100-200元/时,1-3年,本科,社交网络与媒体,未融资,0-20人,"Python,Django,MySQL,量化","底薪加提成,五险一金"
初级python开发工程师,广州,南沙区,金洲,广州绿慧智能科技,10-15K,1-3年,本科,人工智能,天使轮,0-20人,"Python,Golang,Docker,Nginx,Elasticsearch,MySQL,MongoDB,微服务经验,团队协作与沟通能力良好","绩效奖金,五险一金,团建聚餐"
Python爬虫应届实习生,广州,,,用实,3-8K·13薪,在校/应届,本科,计算机软件,未融资,20-99人,"提供实习证明,网络爬虫技术,爬虫经验,提供转正机会,MySQL,接受无前端经验/技能,其他,Python","五险一金,带薪年假,员工旅游,股票期权,团建聚餐,年终奖,定期体检,零食下午茶,项目奖金"
Python API开发工程师,广州,番禺区,大石,君达,10-15K,1-3年,本科,互联网,未融资,500-999人,"微服务经验,Django,PHP,MongoDB,API,Git CI/CD,架构设计经验,PHP和Node.js,Python","年终奖,五险一金,定期体检,零食下午茶,补充医疗保险,员工旅游,加班补助,带薪年假,节日福利"
Python后端开发高级工程师（五险一金）,广州,番禺区,石基,本龙,10-15K·13薪,5-10年,本科,其他生活服务,,0-20人,"Python,Java,Linux开发/部署经验,分布式经验,运维开发经验,Django","有无线网,保底工资,零食下午茶,节日福利,绩效奖金,生日福利,团建聚餐,住房补贴,五险一金,全勤奖,年终奖"
AI工程师（Python后端方向）,广州,天河区,体育中心,广新跨境新零售,15-25K,3-5年,本科,电子商务,不需要融资,100-499人,"Python,Django,PyTorch,TensorFlow,MySQL,Redis,Oracle,运维开发经验,爬虫经验,机器学习经验","意外险,保底工资,带薪年假,补充医疗保险,年终奖,零食下午茶,团建聚餐,免费工装,绩效奖金,节日福利,交通补助,工龄奖,定期体检,员工旅游,五险一金,生日福利"
python全栈开发工程师,广州,,,信码新创,10-11K·13薪,5-10年,本科,企业服务,不需要融资,20-99人,"团队管理经验,Django,PostgreSQL,vue3,架构设计经验,有前端经验/技能,Python","五险一金,零食下午茶,意外险,补充医疗保险,年终奖"
Python 开发工程师,北京,昌平区,回龙观,北京云天互联科技...,13-18K,3-5年,本科,互联网,未融资,20-99人,"Nginx,Scrapy,爬虫经验,Pandas,MySQL,Redis,MongoDB,Linux开发/部署经验,Numpy,Python,Flask","零食下午茶,带薪年假,五险一金"
Python技术支持(A90649),广州,天河区,元岗,分叉智能科技,10-14K·14薪,1-3年,本科,计算机软件,C轮,100-499人,"编程老师,MySQL,Python","团建聚餐,五险一金,节日福利,带薪年假,零食下午茶,年终奖,股票期权"
Python全栈开发工程师,广州,番禺区,长隆,鱼忆科技,10-15K,3-5年,学历不限,企业服务,未融资,0-20人,"CSS,后端开发经验,Django/Flask,全栈侧重后端,JavaScript,Vue,HTML,计算机相关专业,React,前端开发经验,Python,全栈项目经验",
Python后端开发,广州,天河区,东圃,广州中钦科技服务,14-16K,3-5年,大专,互联网,,20-99人,"分布式经验,微服务经验,Django,MySQL,Python,Flask","节假日加班费,法定节假日三薪,带薪年假,节日福利,五险一金"
python服务器开发,广州,海珠区,琶洲,上海礼聪,11-17K,3-5年,本科,互联网,,20-99人,"Python,C#","五险一金,零食下午茶,餐补,团建聚餐,节日福利,带薪年假,员工旅游"
后端研发（python+自动化驾驶+自研大数据）,广州,海珠区,琶洲,景烁科技,12-24K·13薪,1-3年,本科,人工智能,未融资,1000-9999人,"Python,Java,Golang,C++,Django,Flask,Kubernetes,Kafka,MySQL,Redis,Oracle,MongoDB,Linux开发/部署经验,机器学习经验","五险一金,绩效奖金,团建聚餐,带薪年假,零食下午茶"
python开发工程师,广州,天河区,小新塘,新源信息,9-11K,1-3年,大专,计算机服务,不需要融资,20-99人,,"五险一金,全勤奖,年终奖,带薪年假,员工旅游"
Python开发工程师,广州,番禺区,长隆,牵景科技,8-12K,3-5年,大专,O2O,天使轮,20-99人,"Nginx,分布式经验,PostgreSQL,Django,MySQL,服务器配置,Kafka,云计算经验,Redis,软件工程师,MVC开发,Python","零食下午茶,节日福利,加班补助,全勤奖,股票期权,五险一金,员工旅游,年终奖"
python研发工程师,广州,天河区,体育中心,天勤数科,12-20K,3-5年,本科,计算机软件,未融资,20-99人,"PyTorch,PostgreSQL,MySQL,机器学习经验,Python,TensorFlow","带薪年假,餐补,加班补助,五险一金,股票期权,年终奖,法定节假日三薪,节日福利,保底工资,绩效奖金"
后端+AI应用开发（python/go/Agent）,北京,海淀区,西北旺,瞬联科技,14-24K,3-5年,本科,计算机软件,不需要融资,1000-9999人,"Python,Golang,PHP,Java,Agent,RAG,AI应用开发,后端开发","补充医疗保险,五险一金,带薪年假,节日福利,零食下午茶,定期体检,意外险"
Python,广州,天河区,棠下,广州仪道信息科技,15-16K,3-5年,本科,互联网,,20-99人,,
python算法工程师,广州,天河区,石牌,景汇士信息科技,10-15K,3-5年,本科,计算机软件,,20-99人,"Python,Numpy,Pandas,Docker,机器学习经验,FastAPI,ONNX",
（Python）后端开发工程师,广州,南沙区,东涌,广州寰越创新技术,15-20K,3-5年,本科,人工智能,未融资,100-499人,"分布式经验,微服务经验,MySQL,Kafka,Oracle,Linux开发/部署经验,Python","底薪加提成,全勤奖,生日福利,交通补助,年终奖,节日福利,工龄奖,定期体检,员工旅游,住房补贴,绩效奖金,带薪年假"
Python 开发工程师（应届生）,广州,白云区,黄边,广州网谊,6-8K,在校/应届,本科,电子商务,未融资,100-499人,"Python,Django,MySQL,Oracle,架构设计经验","股票期权,生日福利,年终奖,绩效奖金,保底工资,团建聚餐,五险一金,员工旅游,补充医疗保险,法定节假日三薪,有无线网,节日福利,零食下午茶,节假日加班费,带薪年假,底薪加提成,定期体检,全勤奖,免费工装,工龄奖"
python数据分析师,广州,天河区,石牌,自学帮科技,15-30K,1-3年,本科,互联网,未融资,20-99人,"Python,Golang,Django,Scrapy,Docker,PyTorch,TensorFlow,MySQL,Redis,MongoDB,爬虫经验,机器学习经验","底薪加提成,绩效奖金,加班补助,年终奖,五险一金"
python开发工程师,广州,黄埔区,鱼珠,广州鼎丞商贸有限公司,18-25K·13薪,3-5年,本科,批发/零售,,20-99人,"Python,Flask,Django,Selenium,Pandas,MySQL",
Python（ERP和AI项目）,深圳,龙岗区,坂田,熙锐,15-25K,经验不限,本科,电子商务,未融资,100-499人,"Python,Django,MySQL,Oracle,云计算经验,Linux开发/部署经验,分布式经验,亚马逊ERP,ERP系统,电商 ERP","带薪年假,团建聚餐,年终奖,生日福利,加班补助,底薪加提成,节日福利,五险一金,绩效奖金,员工旅游,零食下午茶"
